OBJECTID,town,old
313,仁愛區,0.0713
314,中山區,0.0689
315,安樂區,0.0602
316,信義區,0.0818
317,東區,0.0603
318,北區,0.0752
319,香山區,0.0587
320,中區,0.0533
321,東區,0.058
322,南區,0.0471
323,西區,0.0459
324,北區,0.0532
325,西屯區,0.0397
326,南屯區,0.0461
327,北屯區,0.0487
328,東區,0.0659
329,西區,0.0578
330,東區,0.0534
331,南區,0.0508
332,西區,0.0614
333,北區,0.0553
334,中區,0.0719
335,安南區,0.0458
336,安平區,0.0659
337,松山區,0.0608
338,信義區,0.068
339,大安區,0.073
340,中山區,0.0544
341,中正區,0.0765
342,大同區,0.0626
343,萬華區,0.0666
344,文山區,0.0611
345,南港區,0.0492
346,內湖區,0.0428
347,士林區,0.0505
348,北投區,0.0547
349,鹽埕區,0.0702
350,鼓山區,0.0489
351,左營區,0.0658
352,楠梓區,0.0431
353,三民區,0.0336
354,新興區,0.0589
355,前金區,0.0687
356,苓雅區,0.0418
357,前鎮區,0.0388
358,旗津區,0.0575
359,小港區,0.0366
