OBJECTID,town,women
247,長治鄉,0.5253
248,麟洛鄉,0.5468
249,九如鄉,0.5218
250,里港鄉,0.5224
251,鹽埔鄉,0.5191
252,高樹鄉,0.5058
253,萬巒鄉,0.5095
254,內埔鄉,0.5421
255,竹田鄉,0.5292
256,新埤鄉,0.5241
257,枋寮鄉,0.5413
258,新園鄉,0.5391
259,崁頂鄉,0.516
260,林邊鄉,0.546
261,南州鄉,0.523
262,佳冬鄉,0.5242
263,琉球鄉,0.5267
264,車城鄉,0.4939
265,滿州鄉,0.4969
266,枋山鄉,0.5353
267,三地鄉,0.5073
268,霧臺鄉,0.5419
269,瑪家鄉,0.5236
270,泰武鄉,0.5052
271,來義鄉,0.5233
272,春日鄉,0.4878
273,獅子鄉,0.5165
274,牡丹鄉,0.4981
275,臺東市,0.5635
276,成功鎮,0.4973
277,關山鎮,0.4937
278,卑南鄉,0.5316
279,鹿野鄉,0.5036
280,池上鄉,0.5104
281,東河鄉,0.4897
282,長濱鄉,0.5094
283,太麻里鄉,0.5242
284,大武鄉,0.5045
285,綠島鄉,0.5494
286,海端鄉,0.4901
287,延平鄉,0.4836
288,金峰鄉,0.5407
289,達仁鄉,0.5024
290,蘭嶼鄉,0.4613
291,花蓮市,0.5668
292,鳳林鎮,0.5211
293,玉里鎮,0.5489
294,新城鄉,0.5783
295,吉安鄉,0.5737
296,壽豐鄉,0.5589
297,光復鄉,0.5061
298,豐濱鄉,0.5052
299,瑞穗鄉,0.5152
300,富里鄉,0.4979
301,秀林鄉,0.5154
302,萬榮鄉,0.4863
303,卓溪鄉,0.5016
304,馬公市,0.5364
305,湖西鄉,0.4768
306,白沙鄉,0.4843
307,西嶼鄉,0.4909
308,望安鄉,0.4788
309,七美鄉,0.4514
310,中正區,0.5796
311,七堵區,0.5738
312,暖暖區,0.5638
313,仁愛區,0.5538
314,中山區,0.5809
315,安樂區,0.5761
316,信義區,0.5763
317,東區,0.583
318,北區,0.5587
319,香山區,0.5516
320,中區,0.5563
321,東區,0.5649
322,南區,0.5885
323,西區,0.5931
324,北區,0.5944
325,西屯區,0.6157
326,南屯區,0.5674
327,北屯區,0.5848
328,東區,0.5696
329,西區,0.5491
330,東區,0.6037
331,南區,0.5779
332,西區,0.5605
333,北區,0.5775
334,中區,0.5463
335,安南區,0.5368
336,安平區,0.572
337,松山區,0.6125
338,信義區,0.618
339,大安區,0.6205
340,中山區,0.6396
341,中正區,0.6028
342,大同區,0.5845
343,萬華區,0.595
344,文山區,0.6181
345,南港區,0.6024
346,內湖區,0.6081
347,士林區,0.6089
348,北投區,0.6064
349,鹽埕區,0.5807
350,鼓山區,0.5938
351,左營區,0.592
352,楠梓區,0.5912
353,三民區,0.5943
354,新興區,0.5843
355,前金區,0.5808
356,苓雅區,0.6002
357,前鎮區,0.5957
358,旗津區,0.5675
359,小港區,0.5722
