OBJECTID,town,work
173,六腳鄉,0.919931
174,東石鄉,0.992562
175,義竹鄉,0.984195
176,鹿草鄉,0.941028
177,水上鄉,0.795329
178,中埔鄉,1.00638
179,竹崎鄉,1.006968
180,梅山鄉,0.978164
181,番路鄉,1.027997
182,大埔鄉,0.910966
183,吳鳳鄉,1.016983
184,新營鎮,0.86444
185,鹽水鎮,0.911136
186,白河鎮,0.84224
187,柳營鄉,0.930558
188,後壁鄉,0.915059
189,東山鄉,0.954617
190,麻豆鎮,0.883992
191,下營鄉,0.94987
192,六甲鄉,0.892015
193,官田鄉,0.693532
194,大內鄉,0.912394
195,佳里鎮,0.933446
196,學甲鄉,0.994946
197,西港鄉,1.017177
198,七股鄉,1.043166
199,將軍鄉,0.986341
200,北門鄉,1.053812
201,新化鎮,0.620929
202,善化鎮,0.67977
203,新市鄉,0.915879
204,安定鄉,0.970858
205,山上鄉,0.892537
206,玉井鄉,1.006309
207,楠西鄉,1.051273
208,南化鄉,1.04667
209,左鎮鄉,0.990687
210,仁德鄉,0.789212
211,歸仁鄉,0.894095
212,關廟鄉,0.900215
213,龍崎鄉,1.06914
214,永康鄉,0.716853
215,鳳山鎮,0.686555
216,林園鄉,0.747331
217,大寮鄉,0.987912
218,大樹鄉,0.811603
219,大社鄉,0.919629
220,仁武鄉,0.561277
221,鳥松鄉,0.802962
222,岡山鎮,0.771644
223,橋頭鄉,0.809463
224,燕巢鄉,0.672229
225,田寮鄉,1.000435
226,阿蓮鄉,0.856766
227,路竹鄉,0.950329
228,湖內鄉,0.878803
229,茄萣鄉,0.921712
230,永安鄉,0.946056
231,彌陀鄉,0.938629
232,梓官鄉,0.937702
233,旗山鎮,0.853023
234,美濃鎮,0.9419
235,六龜鄉,1.032142
236,甲仙鄉,1.083108
237,杉林鄉,1.104421
238,內門鄉,1.080168
239,茂林鄉,0.99686
240,桃源鄉,1.214241
241,三民鄉,1.050794
242,屏東市,0.777562
243,潮州鎮,0.851014
244,東港鎮,0.873694
245,恆春鎮,0.973706
246,萬丹鄉,0.920007
247,長治鄉,0.879226
248,麟洛鄉,0.815211
249,九如鄉,0.911777
250,里港鄉,0.926624
251,鹽埔鄉,0.992386
252,高樹鄉,0.969217
253,萬巒鄉,0.920622
254,內埔鄉,0.746835
255,竹田鄉,0.884676
256,新埤鄉,0.997217
257,枋寮鄉,0.877368
258,新園鄉,0.947415
259,崁頂鄉,0.947736
260,林邊鄉,0.931645
261,南州鄉,0.883911
262,佳冬鄉,0.901641
263,琉球鄉,0.910204
264,車城鄉,0.965224
265,滿州鄉,1.050686
266,枋山鄉,0.957793
267,三地鄉,0.984458
268,霧臺鄉,0.967172
269,瑪家鄉,0.808249
270,泰武鄉,1.030886
271,來義鄉,0.952442
272,春日鄉,0.889696
273,獅子鄉,1.018668
274,牡丹鄉,1.042738
275,臺東鎮,0.893238
276,成功鎮,1.051317
277,關山鎮,1.045666
278,卑南鄉,0.882542
279,鹿野鄉,0.962245
280,池上鄉,0.93096
281,東河鄉,0.929755
282,長濱鄉,1.113495
283,太麻里鄉,1.00836
284,大武鄉,1.051121
285,綠島鄉,0.641725
286,海端鄉,1.00808
287,延平鄉,1.181766
288,金峰鄉,1.121005
289,達仁鄉,1.059395
290,蘭嶼鄉,0.611758
291,花蓮市,0.755462
292,鳳林鎮,0.75422
293,玉里鎮,0.840488
294,新城鄉,0.667755
295,吉安鄉,0.799056
296,壽豐鄉,0.909924
297,光復鄉,0.999315
298,豐濱鄉,0.921537
299,瑞穗鄉,1.031097
300,富里鄉,1.03322
301,秀林鄉,1.002674
302,萬榮鄉,1.185185
303,卓溪鄉,0.964034
304,馬公鎮,0.720082
305,湖西鄉,0.673899
306,白沙鄉,0.773762
307,西嶼鄉,0.851809
308,望安鄉,1.023501
309,七美鄉,1.055758
310,中正區,0.77598
311,七堵區,0.964439
312,暖暖區,0.965297
313,仁愛區,0.854997
314,中山區,0.749525
315,安樂區,0.925255
316,信義區,0.8582
317,新竹市,0.732143
318,香山鄉,0.878166
319,中區,0.793242
320,東區,0.790333
321,南區,0.79489
322,西區,0.778445
323,北區,0.793665
324,西屯區,0.856164
325,南屯區,0.957827
326,北屯區,0.904865
327,嘉義市,0.833693
328,東區,0.728353
329,南區,0.772989
330,西區,0.817529
331,北區,0.79311
332,中區,0.72547
333,安南區,1.029862
334,安平區,0.822734
335,鹽埕區,0.821503
336,鼓山區,0.807779
337,左營區,0.537029
338,楠梓區,0.849294
339,三民區,0.837807
340,新興區,0.816997
341,前金區,0.819417
342,苓雅區,0.84864
343,前鎮區,0.876278
344,旗津區,0.829378
345,小港鄉,0.800315
346,大安區,0.577636
347,大同區,0.831273
348,松山區,0.710299
349,南港鎮,0.844949
350,內湖鄉,0.842746
351,中山區,0.710817
352,北投鎮,0.818759
353,士林鎮,0.781316
354,城中區,0.512985
355,延平區,0.777956
356,建成區,0.787466
357,古亭區,0.73459
358,龍山區,0.799109
359,雙園區,0.854414
360,景美鎮,0.792032
361,木柵鄉,0.818427
