town,total
獅子鄉,92.14
牡丹鄉,90.63
臺東市,16.14
成功鎮,49.43
關山鎮,22.92
卑南鄉,26.21
鹿野鄉,25.64
池上鄉,20.35
東河鄉,46.15
長濱鄉,55.37
太麻里鄉,37.79
大武鄉,49.13
綠島鄉,1.65
海端鄉,88.76
延平鄉,90.08
金峰鄉,90.74
達仁鄉,90.51
蘭嶼鄉,90.27
花蓮市,7.43
鳳林鎮,13.87
玉里鎮,24.88
新城鄉,18.93
吉安鄉,14.67
壽豐鄉,22.51
光復鄉,46.35
豐濱鄉,74.88
瑞穗鄉,35.09
富里鄉,12.12
秀林鄉,82.43
萬榮鄉,95.58
卓溪鄉,93.76
馬公市,0.65
湖西鄉,0.63
白沙鄉,0.21
西嶼鄉,0.64
望安鄉,0.34
七美鄉,0.16
中正區,5.46
七堵區,2.47
暖暖區,1.12
仁愛區,0.31
中山區,0.55
安樂區,0.76
信義區,0.78
東區,0.36
北區,0.5
香山區,0.83
中區,0.27
東區,0.49
南區,0.42
西區,0.24
北區,0.47
西屯區,0.53
南屯區,0.58
北屯區,0.63
東區,0.42
西區,0.14
東區,0.26
南區,0.14
西區,0.08
北區,0.14
中區,0.15
安南區,0.11
安平區,0.23
松山區,0.2
信義區,0.29
大安區,0.23
中山區,0.35
中正區,0.26
大同區,0.19
萬華區,0.25
文山區,0.46
南港區,0.85
內湖區,0.6
士林區,0.25
北投區,0.38
鹽埕區,0.25
鼓山區,0.47
左營區,0.94
楠梓區,0.63
三民區,0.23
新興區,0.18
前金區,0.17
苓雅區,0.19
前鎮區,0.86
旗津區,0.49
小港區,1.5
