OBJECTID,town,widow
268,霧臺鄉,14.11
269,瑪家鄉,13.5
270,泰武鄉,13.04
271,來義鄉,12.77
272,春日鄉,12.99
273,獅子鄉,14.73
274,牡丹鄉,15.64
275,臺東市,10.59
276,成功鎮,12.4
277,關山鎮,13.28
278,卑南鄉,13.16
279,鹿野鄉,13.14
280,池上鄉,14.07
281,東河鄉,13.8
282,長濱鄉,17.19
283,太麻里鄉,13.33
284,大武鄉,14.53
285,綠島鄉,9.78
286,海端鄉,18.58
287,延平鄉,17.66
288,金峰鄉,14.63
289,達仁鄉,15.34
290,蘭嶼鄉,12.39
291,花蓮市,8.68
292,鳳林鎮,13.25
293,玉里鎮,12.55
294,新城鄉,10.02
295,吉安鄉,8.01
296,壽豐鄉,12.2
297,光復鄉,14.03
298,豐濱鄉,16.72
299,瑞穗鄉,13.53
300,富里鄉,15.34
301,秀林鄉,12.92
302,萬榮鄉,14.8
303,卓溪鄉,15.74
304,馬公市,9.21
305,湖西鄉,12.73
306,白沙鄉,14.03
307,西嶼鄉,14.94
308,望安鄉,13.62
309,七美鄉,15.02
310,中正區,8.73
311,七堵區,8.1
312,暖暖區,8.08
313,仁愛區,11.26
314,中山區,9.38
315,安樂區,7.76
316,信義區,8.29
317,東區,6.66
318,北區,7.76
319,香山區,7.09
320,中區,9.28
321,東區,8.38
322,南區,5.91
323,西區,6.6
324,北區,6.91
325,西屯區,5.18
326,南屯區,4.81
327,北屯區,6.05
328,東區,8.77
329,西區,8.39
330,東區,6.24
331,南區,8.19
332,西區,9.59
333,北區,8.29
334,中區,9.97
335,安南區,7.2
336,安平區,5.82
337,松山區,6.66
338,信義區,7.21
339,大安區,7.09
340,中山區,7.05
341,中正區,7.42
342,大同區,7.78
343,萬華區,8.8
344,文山區,6.77
345,南港區,7.32
346,內湖區,5.9
347,士林區,7.09
348,北投區,7.32
349,鹽埕區,10.65
350,鼓山區,8.71
351,左營區,7.32
352,楠梓區,6.26
353,三民區,6.56
354,新興區,8.33
355,前金區,9.45
356,苓雅區,7.41
357,前鎮區,7.28
358,旗津區,10.75
359,小港區,6
