town,use
獅子鄉,96.15
牡丹鄉,94.6
臺東市,88.4
成功鎮,93.04
關山鎮,86.53
卑南鄉,93.49
鹿野鄉,89.81
池上鄉,88.15
東河鄉,92.45
長濱鄉,91.64
太麻里鄉,88.02
大武鄉,88.89
綠島鄉,90.11
海端鄉,96.46
延平鄉,97.7
金峰鄉,98.23
達仁鄉,92.61
蘭嶼鄉,89.97
花蓮市,88.76
鳳林鎮,92.52
玉里鎮,88.2
新城鄉,92.14
吉安鄉,91.51
壽豐鄉,92.57
光復鄉,88.18
豐濱鄉,94.51
瑞穗鄉,89.79
富里鄉,89.6
秀林鄉,94.5
萬榮鄉,98.92
卓溪鄉,98.15
馬公市,89.6
湖西鄉,92.97
白沙鄉,97.21
西嶼鄉,97.37
望安鄉,97.97
七美鄉,95.6
中正區,91.93
七堵區,96.8
暖暖區,97.71
仁愛區,92.41
中山區,93.99
安樂區,98.4
信義區,94.81
東區,90.85
北區,86.9
香山區,93.33
中區,79.45
東區,90.85
南區,87.74
西區,79.44
北區,86.9
西屯區,91.44
南屯區,92.96
北屯區,91.73
東區,90.85
西區,79.44
東區,90.85
南區,87.74
西區,79.44
北區,86.9
中區,79.45
安南區,84.89
安平區,94.23
松山區,94.66
信義區,94.81
大安區,95.2
中山區,93.99
中正區,91.93
大同區,89.71
萬華區,92.5
文山區,96.89
南港區,95.31
內湖區,96.42
士林區,95.56
北投區,96.06
鹽埕區,80.1
鼓山區,92.73
左營區,93.15
楠梓區,93.81
三民區,88.57
新興區,79.21
前金區,86.32
苓雅區,88.86
前鎮區,91.7
旗津區,94.45
小港區,94.59
