town,illiterate
霧峰鄉,30.0483
太平鄉,26.0335
大里鄉,26.63
和平鄉,17.2768
彰化市,21.0798
鹿港鎮,32.125
和美鎮,33.0892
線西鄉,37.7843
伸港鄉,43.3428
福興鄉,41.6674
秀水鄉,33.721
花壇鄉,31.9814
芬園鄉,39.3143
員林鎮,26.4539
溪湖鎮,34.1437
田中鎮,24.078
大村鄉,39.8103
埔鹽鄉,39.2332
埔心鄉,35.905
永靖鄉,31.6344
社頭鄉,30.4344
二水鄉,25.1613
北斗鎮,25.5227
二林鎮,44.4069
田尾鄉,33.3441
埤頭鄉,37.6833
芳苑鄉,55.3104
大城鄉,59.5871
竹塘鄉,33.9979
溪州鄉,36.3019
南投鎮,21.645
埔里鎮,24.2728
草屯鎮,27.3173
竹山鎮,28.4776
集集鎮,24.8351
名間鄉,24.9631
鹿谷鄉,26.298
中寮鄉,35.2742
魚池鄉,27.6675
國姓鄉,29.9672
水里鄉,26.2929
信義鄉,29.644
仁愛鄉,17.8315
斗六鎮,21.2411
斗南鎮,20.3025
虎尾鎮,23.0669
西螺鎮,29.92
土庫鎮,36.7312
北港鎮,27.2268
古坑鄉,15.038
大埤鄉,34.3339
莿桐鄉,27.5892
林內鄉,28.4291
二崙鄉,37.0216
崙背鄉,32.607
麥寮鄉,46.6381
東勢鄉,31.5525
褒忠鄉,39.5032
臺西鄉,46.1941
元長鄉,40.0707
四湖鄉,54.4089
口湖鄉,55.9094
水林鄉,45.5903
太保市,36.9018
朴子鎮,29.6447
布袋鎮,41.3565
大林鎮,24.791
民雄鄉,28.5152
溪口鄉,37.5746
新港鄉,33.2011
六腳鄉,34.8007
東石鄉,45.7579
義竹鄉,35.2241
鹿草鄉,32.0787
水上鄉,24.11
中埔鄉,29.4432
竹崎鄉,26.7706
梅山鄉,22.9167
番路鄉,34.024
大埔鄉,29.2079
吳鳳鄉,24.313
新營鎮,28.3884
鹽水鎮,34.5786
白河鎮,31.2294
柳營鄉,40.0511
後壁鄉,35.9022
東山鄉,41.7885
麻豆鎮,28.8891
下營鄉,36.3514
六甲鄉,31.8167
官田鄉,27.3852
大內鄉,30.3289
佳里鎮,31.1118
學甲鄉,38.1741
西港鄉,39.5953
七股鄉,44.6191
將軍鄉,42.4618
北門鄉,38.3301
新化鎮,19.7722
善化鎮,23.8747
新市鄉,30.8758
安定鄉,46.8885
山上鄉,34.2471
玉井鄉,25.6787
楠西鄉,36.451
南化鄉,28.3743
左鎮鄉,26.0611
仁德鄉,30.3534
歸仁鄉,27.1608
關廟鄉,29.4822
龍崎鄉,19.359
永康鄉,24.1642
鳳山鎮,16.7008
林園鄉,39.5316
大寮鄉,34.0398
大樹鄉,31.8706
大社鄉,40.6365
仁武鄉,22.0994
鳥松鄉,26.6178
岡山鎮,23.0314
橋頭鄉,33.4891
燕巢鄉,31.4475
田寮鄉,39.3805
阿蓮鄉,41.1219
路竹鄉,41.5835
湖內鄉,37.3853
茄萣鄉,47.0188
永安鄉,39.8533
彌陀鄉,52.4506
梓官鄉,46.869
旗山鎮,24.005
美濃鎮,15.7792
六龜鄉,25.478
甲仙鄉,19.8857
杉林鄉,23.7669
內門鄉,26.7065
茂林鄉,21.5969
桃源鄉,21.2435
三民鄉,27.3473
屏東市,19.8145
潮州鎮,23.2644
東港鎮,31.4293
恆春鎮,28.1146
萬丹鄉,33.5985
長治鄉,25.0688
麟洛鄉,12.1497
九如鄉,26.1234
里港鄉,30.8012
鹽埔鄉,42.8561
高樹鄉,32.6041
萬巒鄉,24.0202
內埔鄉,20.5187
竹田鄉,16.104
新埤鄉,26.1343
枋寮鄉,36.9341
新園鄉,43.7351
崁頂鄉,37.662
林邊鄉,31.2994
南州鄉,28.7294
佳冬鄉,29.3579
琉球鄉,44.3182
車城鄉,27.5119
滿州鄉,29.7208
枋山鄉,38.2908
三地鄉,16.5697
霧臺鄉,22.5521
瑪家鄉,14.1271
泰武鄉,16.0205
來義鄉,17.8173
春日鄉,23.8465
獅子鄉,28.1735
牡丹鄉,13.4268
臺東鎮,19.7456
成功鎮,17.4229
關山鎮,24.8252
卑南鄉,28.4853
鹿野鄉,28.8767
池上鄉,27.9599
東河鄉,24.2205
長濱鄉,19.6794
太麻里鄉,31.2116
大武鄉,28.5292
綠島鄉,17.2847
海端鄉,19.4512
延平鄉,19.7926
金峰鄉,24.0078
達仁鄉,18.6457
蘭嶼鄉,23.9886
花蓮市,16.4378
鳳林鎮,18.7496
玉里鎮,23.6099
新城鄉,23.3721
吉安鄉,20.0923
壽豐鄉,24.3625
光復鄉,20.5671
豐濱鄉,13.3682
瑞穗鄉,22.1351
富里鄉,25.5632
秀林鄉,16.5572
萬榮鄉,12.7868
卓溪鄉,24.3672
馬公鎮,18.2304
湖西鄉,13.9651
白沙鄉,17.2795
西嶼鄉,36.6884
望安鄉,55.3219
七美鄉,51.6932
中正區,19.2732
七堵區,24.0138
暖暖區,19.8443
仁愛區,19.5418
中山區,21.5116
安樂區,26.2357
信義區,21.3515
新竹市,16.5728
香山鄉,35.3007
中區,11.7239
東區,15.834
南區,14.8137
西區,14.7473
北區,14.4872
西屯區,21.9519
南屯區,20.1748
北屯區,18.8655
嘉義市,21.1188
東區,16.5173
南區,24.2908
西區,19.7641
北區,17.5527
中區,10.8398
安南區,46.7651
安平區,21.92
鹽埕區,16.9949
鼓山區,17.6357
左營區,11.9475
楠梓區,26.918
三民區,18.254
新興區,14.8705
前金區,16.1316
苓雅區,18.8897
前鎮區,17.5703
旗津區,28.5239
小港鄉,36.4013
大安區,8.5146
大同區,15.8624
松山區,12.4671
南港鎮,19.7947
內湖鄉,21.0065
中山區,10.9195
北投鎮,17.8166
士林鎮,15.4643
城中區,7.2082
延平區,11.9671
建成區,13.2697
古亭區,11.6996
龍山區,13.0573
雙園區,19.0867
景美鎮,13.374
木柵鄉,15.2937
