OBJECTID,town,pop_den
890,蘭嶼鄉,50
891,蘭嶼鄉,50
892,蘭嶼鄉,50
893,蘭嶼鄉,50
894,蘭嶼鄉,50
895,蘭嶼鄉,50
896,蘭嶼鄉,50
897,蘭嶼鄉,50
898,花蓮市,3322
899,鳳林鎮,71
900,玉里鎮,100
901,新城鄉,874
902,吉安鄉,1227
903,壽豐鄉,88
904,光復鄉,67
905,豐濱鄉,27
906,豐濱鄉,27
907,豐濱鄉,27
908,豐濱鄉,27
909,豐濱鄉,27
910,豐濱鄉,27
911,豐濱鄉,27
912,瑞穗鄉,65
913,富里鄉,47
914,秀林鄉,8
915,萬榮鄉,7
916,卓溪鄉,3
