town,priv
彌陀鄉,90.7
梓官鄉,94.1
旗山鎮,91.6
美濃鎮,89.1
六龜鄉,87.4
甲仙鄉,83.2
杉林鄉,95.7
內門鄉,94.3
茂林鄉,95.2
桃源鄉,95.9
三民鄉,98.1
屏東市,70.8
潮州鎮,81.4
東港鎮,82.8
恆春鎮,89.4
萬丹鄉,94.2
長治鄉,93.2
麟洛鄉,89.3
九如鄉,95
里港鄉,83.8
鹽埔鄉,85.8
高樹鄉,92.5
萬巒鄉,96
內埔鄉,91
竹田鄉,97.4
新埤鄉,97.6
枋寮鄉,91.5
新園鄉,91.6
崁頂鄉,95.2
林邊鄉,84.6
南州鄉,91.9
佳冬鄉,93.7
琉球鄉,90.4
車城鄉,95.8
滿州鄉,95.9
枋山鄉,97.2
三地鄉,94.8
霧臺鄉,97.2
瑪家鄉,90.1
泰武鄉,90.6
來義鄉,93.9
春日鄉,94.2
獅子鄉,98.4
牡丹鄉,97.8
臺東市,70.9
成功鎮,85.4
關山鎮,79.4
卑南鄉,84.2
鹿野鄉,93.2
池上鄉,90.4
東河鄉,90.1
長濱鄉,95.1
太麻里鄉,81.1
大武鄉,82.5
綠島鄉,83.3
海端鄉,97.3
延平鄉,94.8
金峰鄉,94.7
達仁鄉,86.2
蘭嶼鄉,14.1
花蓮市,70.7
鳳林鎮,81.1
玉里鎮,81.6
新城鄉,77.9
吉安鄉,80.9
壽豐鄉,82.1
光復鄉,88.6
豐濱鄉,91.2
瑞穗鄉,82.6
富里鄉,88.3
秀林鄉,84.1
萬榮鄉,90.1
卓溪鄉,95.2
馬公市,77.1
湖西鄉,90
白沙鄉,88.9
西嶼鄉,87.3
望安鄉,94.8
七美鄉,94.8
中正區,61.2
七堵區,81.6
暖暖區,74.1
仁愛區,79.1
中山區,64.5
安樂區,83.4
信義區,70.3
東區,69.6
北區,66.9
香山區,83
中區,59.8
東區,69.6
南區,73.3
西區,70.3
北區,66.9
西屯區,67.8
南屯區,73.7
北屯區,72.4
東區,69.6
西區,70.3
東區,69.6
南區,73.3
西區,70.3
北區,66.9
中區,59.8
安南區,82.7
安平區,74.1
松山區,71.2
信義區,70.3
大安區,74.1
中山區,64.5
中正區,61.2
大同區,69.1
萬華區,64.2
文山區,69
南港區,70.1
內湖區,76.6
士林區,73.6
北投區,76.7
鹽埕區,62.4
鼓山區,77
左營區,59.8
楠梓區,77.9
三民區,73.4
新興區,66.3
前金區,64.4
苓雅區,73.7
前鎮區,68.2
旗津區,72.7
小港區,75.1
