OBJECTID,unmarried,town
332,115.4039,中區
333,120.9647,安南區
334,123.0769,安平區
335,117.908,松山區
336,121.6651,大安區
337,127.2723,古亭區
338,120.3883,雙園區
339,121.4477,龍山區
340,131.2106,城中區
341,118.0124,建成區
342,115.4699,延平區
343,124.0653,大同區
344,113.1285,中山區
345,123.4026,內湖區
346,124.6878,南港區
347,122.4037,木柵區
348,121.6007,景美區
349,116.7984,士林區
350,116.7019,北投區
351,121.2539,鹽埕區
352,126.1027,鼓山區
353,133.2776,左營區
354,123.3501,楠梓區
355,120.2176,三民區
356,115.517,新興區
357,119.7965,前金區
358,117.1262,苓雅區
359,118.4597,前鎮區
360,127.4722,旗津區
361,120.9852,小港區
