OBJECTID,town,work
151,北港鎮,0.4955
152,古坑鄉,0.4978
153,大埤鄉,0.4864
154,莿桐鄉,0.547
155,林內鄉,0.5481
156,二崙鄉,0.4615
157,崙背鄉,0.5133
158,麥寮鄉,0.5335
159,東勢鄉,0.5216
160,褒忠鄉,0.5235
161,臺西鄉,0.5152
162,元長鄉,0.4976
163,四湖鄉,0.4874
164,口湖鄉,0.5447
165,水林鄉,0.4891
166,太保市,0.516
167,朴子市,0.5083
168,布袋鎮,0.4594
169,大林鎮,0.423
170,民雄鄉,0.5128
171,溪口鄉,0.4594
172,新港鄉,0.4811
173,六腳鄉,0.4774
174,東石鄉,0.4908
175,義竹鄉,0.4757
176,鹿草鄉,0.4816
177,水上鄉,0.4386
178,中埔鄉,0.522
179,竹崎鄉,0.5018
180,梅山鄉,0.4646
181,番路鄉,0.4742
182,大埔鄉,0.4496
183,吳鳳鄉,0.4184
184,新營市,0.5027
185,鹽水鎮,0.4614
186,白河鎮,0.4466
187,柳營鄉,0.5282
188,後壁鄉,0.5685
189,東山鄉,0.4364
190,麻豆鎮,0.499
191,下營鄉,0.485
192,六甲鄉,0.4685
193,官田鄉,0.4428
194,大內鄉,0.4528
195,佳里鎮,0.5035
196,學甲鎮,0.4417
197,西港鄉,0.3396
198,七股鄉,0.3955
199,將軍鄉,0.5436
200,北門鄉,0.5722
201,新化鎮,0.5352
202,善化鎮,0.4437
203,新市鄉,0.525
204,安定鄉,0.5256
205,山上鄉,0.463
206,玉井鄉,0.4642
207,楠西鄉,0.4419
208,南化鄉,0.4082
209,左鎮鄉,0.4391
210,仁德鄉,0.5265
211,歸仁鄉,0.4771
212,關廟鄉,0.5165
213,龍崎鄉,0.4384
214,永康市,0.5067
215,鳳山市,0.4694
216,林園鄉,0.5013
217,大寮鄉,0.446
218,大樹鄉,0.4313
219,大社鄉,0.4615
220,仁武鄉,0.4954
221,鳥松鄉,0.445
222,岡山鎮,0.4545
223,橋頭鄉,0.5171
224,燕巢鄉,0.508
225,田寮鄉,0.4092
226,阿蓮鄉,0.4931
227,路竹鄉,0.5247
228,湖內鄉,0.4681
229,茄萣鄉,0.4867
230,永安鄉,0.4761
231,彌陀鄉,0.5352
232,梓官鄉,0.5263
233,旗山鎮,0.3967
234,美濃鎮,0.4439
235,六龜鄉,0.4539
236,甲仙鄉,0.4808
237,杉林鄉,0.4204
238,內門鄉,0.4312
239,茂林鄉,0.4259
240,桃源鄉,0.6661
241,三民鄉,0.6471
242,屏東市,0.4864
243,潮州鎮,0.4982
244,東港鎮,0.5029
245,恆春鎮,0.4576
246,萬丹鄉,0.5305
247,長治鄉,0.4977
248,麟洛鄉,0.435
249,九如鄉,0.5027
250,里港鄉,0.4874
251,鹽埔鄉,0.5108
252,高樹鄉,0.4378
253,萬巒鄉,0.4092
254,內埔鄉,0.5088
255,竹田鄉,0.4524
256,新埤鄉,0.4536
257,枋寮鄉,0.4465
258,新園鄉,0.5239
259,崁頂鄉,0.4955
260,林邊鄉,0.4933
261,南州鄉,0.4893
262,佳冬鄉,0.4707
263,琉球鄉,0.5425
264,車城鄉,0.4486
265,滿州鄉,0.442
266,枋山鄉,0.4014
267,三地鄉,0.4759
268,霧臺鄉,0.3437
269,瑪家鄉,0.4602
270,泰武鄉,0.5111
271,來義鄉,0.5166
272,春日鄉,0.4922
273,獅子鄉,0.4938
274,牡丹鄉,0.4641
275,臺東市,0.4596
276,成功鎮,0.5227
277,關山鎮,0.5453
278,卑南鄉,0.5224
279,鹿野鄉,0.5313
280,池上鄉,0.5202
281,東河鄉,0.4921
282,長濱鄉,0.4504
283,太麻里鄉,0.4564
284,大武鄉,0.5448
285,綠島鄉,0.2568
286,海端鄉,0.585
287,延平鄉,0.5903
288,金峰鄉,0.4537
289,達仁鄉,0.5419
290,蘭嶼鄉,0.5574
291,花蓮市,0.5011
292,鳳林鎮,0.5246
293,玉里鎮,0.4768
294,新城鄉,0.4233
295,吉安鄉,0.4759
296,壽豐鄉,0.4564
297,光復鄉,0.4761
298,豐濱鄉,0.4658
299,瑞穗鄉,0.507
300,富里鄉,0.4817
301,秀林鄉,0.5291
302,萬榮鄉,0.6228
303,卓溪鄉,0.5655
304,馬公市,0.4076
305,湖西鄉,0.3513
306,白沙鄉,0.4549
307,西嶼鄉,0.4513
308,望安鄉,0.4722
309,七美鄉,0.5289
310,中正區,0.4347
311,七堵區,0.4787
312,暖暖區,0.4922
313,仁愛區,0.4741
314,中山區,0.4295
315,安樂區,0.5035
316,信義區,0.4665
317,東區,0.4459
318,北區,0.5265
319,香山區,0.5541
320,中區,0.6191
321,東區,0.5231
322,南區,0.4878
323,西區,0.4599
324,北區,0.4869
325,西屯區,0.4599
326,南屯區,0.5038
327,北屯區,0.5213
328,東區,0.4695
329,西區,0.4958
330,東區,0.4642
331,南區,0.4846
332,西區,0.4719
333,北區,0.4855
334,中區,0.5359
335,安南區,0.586
336,安平區,0.4565
337,松山區,0.4339
338,信義區,0.4395
339,大安區,0.4155
340,中山區,0.3826
341,中正區,0.4547
342,大同區,0.4513
343,萬華區,0.4505
344,文山區,0.4305
345,南港區,0.4652
346,內湖區,0.5018
347,士林區,0.4523
348,北投區,0.4589
349,鹽埕區,0.4322
350,鼓山區,0.4266
351,左營區,0.3438
352,楠梓區,0.4918
353,三民區,0.4874
354,新興區,0.4574
355,前金區,0.4332
356,苓雅區,0.4669
357,前鎮區,0.4646
358,旗津區,0.4666
359,小港區,0.5369
