town,befo
土庫鎮,8.45
北港鎮,12.52
古坑鄉,4.03
大埤鄉,10.24
莿桐鄉,5.56
林內鄉,6.3
二崙鄉,8.68
崙背鄉,7.42
麥寮鄉,9.78
東勢鄉,13.35
褒忠鄉,11.32
臺西鄉,11.51
元長鄉,4.01
四湖鄉,8.7
口湖鄉,9.69
水林鄉,6.52
太保市,2.69
朴子市,5.31
布袋鎮,15.59
大林鎮,5.92
民雄鄉,3.09
溪口鄉,3.71
新港鄉,2.95
六腳鄉,1.83
東石鄉,16.73
義竹鄉,3.21
鹿草鄉,5.36
水上鄉,3.22
中埔鄉,2.01
竹崎鄉,3.46
梅山鄉,3.99
番路鄉,4.51
大埔鄉,3.95
阿里山鄉,13.64
新營市,7.06
鹽水鎮,17.91
白河鎮,16.16
柳營鄉,11.91
後壁鄉,20.22
東山鄉,13.17
麻豆鎮,16.13
下營鄉,16.36
六甲鄉,11.51
官田鄉,12.63
大內鄉,18.82
佳里鎮,12.32
學甲鎮,19.73
西港鄉,12.39
七股鄉,19.3
將軍鄉,19.3
北門鄉,18.07
新化鎮,9.85
善化鎮,13.77
新市鄉,5.74
安定鄉,10.06
山上鄉,21.89
玉井鄉,11.29
楠西鄉,10.45
南化鄉,17.01
左鎮鄉,23.04
仁德鄉,7.67
歸仁鄉,8.2
關廟鄉,13.23
龍崎鄉,33.58
永康市,3.55
鳳山市,2.14
林園鄉,3.22
大寮鄉,3.06
大樹鄉,4.09
大社鄉,2.51
仁武鄉,2.49
鳥松鄉,3.73
岡山鎮,4.8
橋頭鄉,5.96
燕巢鄉,5.05
田寮鄉,24.74
阿蓮鄉,8.75
路竹鄉,3.43
湖內鄉,5.2
茄萣鄉,4.81
永安鄉,8.53
彌陀鄉,9.44
梓官鄉,3.87
旗山鎮,3.99
美濃鎮,3.88
六龜鄉,2.59
甲仙鄉,3.52
杉林鄉,1.91
內門鄉,3.68
茂林鄉,1.86
桃源鄉,3.18
三民鄉,5.15
屏東市,4.78
潮州鎮,3.27
東港鎮,6.44
恆春鎮,7.14
萬丹鄉,5.9
長治鄉,6.79
麟洛鄉,7.75
九如鄉,6.2
里港鄉,8.87
鹽埔鄉,9.2
高樹鄉,13.81
萬巒鄉,3.09
內埔鄉,3.33
竹田鄉,5.63
新埤鄉,2.7
枋寮鄉,9.55
新園鄉,3.2
崁頂鄉,3.65
林邊鄉,4.81
南州鄉,7.05
佳冬鄉,1.81
琉球鄉,7.61
車城鄉,16.78
滿州鄉,9.6
枋山鄉,11.5
三地門鄉,8.63
霧臺鄉,11.06
瑪家鄉,1.28
泰武鄉,0.97
來義鄉,0.66
春日鄉,1.7
獅子鄉,3.03
牡丹鄉,1.56
臺東市,2.37
成功鎮,5.86
關山鎮,10.33
卑南鄉,3.14
鹿野鄉,4.05
池上鄉,4.13
東河鄉,3.83
長濱鄉,3.1
太麻里鄉,2.3
大武鄉,3.28
綠島鄉,27.19
海端鄉,4.49
延平鄉,5.6
金峰鄉,1.09
達仁鄉,3.49
蘭嶼鄉,15.32
花蓮市,3.7
鳳林鎮,2.43
玉里鎮,6.47
新城鄉,4.46
吉安鄉,1.85
壽豐鄉,2.89
光復鄉,2.91
豐濱鄉,1.54
瑞穗鄉,5.84
富里鄉,4.47
秀林鄉,3.74
萬榮鄉,1.56
卓溪鄉,4.08
馬公市,8.43
湖西鄉,6.96
白沙鄉,43.03
西嶼鄉,33.53
望安鄉,75.89
七美鄉,15.17
中正區,5.87
七堵區,3.56
暖暖區,3.84
仁愛區,4.4
中山區,3.88
安樂區,1.42
信義區,2.7
東區,1.37
北區,3.02
香山區,2.29
中區,14.38
東區,1.37
南區,3.91
西區,12.73
北區,3.02
西屯區,1.53
南屯區,1.46
北屯區,0.98
東區,1.37
西區,12.73
東區,1.37
南區,3.91
西區,12.73
北區,3.02
中區,14.38
安南區,3.42
安平區,4.56
松山區,3.02
信義區,2.7
大安區,4.33
中山區,3.88
中正區,5.87
大同區,12.22
萬華區,4.09
文山區,2.47
南港區,3.57
內湖區,1.51
士林區,2.21
北投區,2.56
鹽埕區,11.41
鼓山區,6.05
左營區,4.69
楠梓區,1.22
三民區,0.7
新興區,2.01
前金區,4.83
苓雅區,1.3
前鎮區,1.11
旗津區,15
小港區,1.88
