town,befo
龍崎鄉,16
永康市,1.6
鳳山市,2.8
林園鄉,12.4
大寮鄉,13.9
大樹鄉,22
大社鄉,3.6
仁武鄉,3.5
鳥松鄉,5.7
岡山鎮,2
橋頭鄉,4.4
燕巢鄉,3.2
田寮鄉,5.9
阿蓮鄉,6.9
路竹鄉,17.2
湖內鄉,3.5
茄萣鄉,5.7
永安鄉,5.3
彌陀鄉,5.2
梓官鄉,4.5
旗山鎮,8.4
美濃鎮,5.7
六龜鄉,6.8
甲仙鄉,4.4
杉林鄉,17.1
內門鄉,21.2
茂林鄉,0.3
桃源鄉,3.6
三民鄉,0
屏東市,5.7
潮州鎮,5.8
東港鎮,7.5
恆春鎮,5.7
萬丹鄉,6.1
長治鄉,3.9
麟洛鄉,10.2
九如鄉,7.3
里港鄉,9.6
鹽埔鄉,5.9
高樹鄉,6.8
萬巒鄉,13.7
內埔鄉,10.9
竹田鄉,9
新埤鄉,3.5
枋寮鄉,4.6
新園鄉,3.8
崁頂鄉,5.8
林邊鄉,4.1
南州鄉,6.5
佳冬鄉,7.5
琉球鄉,10.1
車城鄉,5.6
滿州鄉,2.8
枋山鄉,6.3
三地鄉,6.6
霧臺鄉,13.9
瑪家鄉,1.5
泰武鄉,0
來義鄉,1.7
春日鄉,0.8
獅子鄉,0.5
牡丹鄉,0.2
臺東市,4.1
成功鎮,3.8
關山鎮,9.4
卑南鄉,1.7
鹿野鄉,0.8
池上鄉,0.9
東河鄉,0.4
長濱鄉,3.2
太麻里鄉,2.2
大武鄉,6.6
綠島鄉,29
海端鄉,3.5
延平鄉,0.3
金峰鄉,0.6
達仁鄉,0
蘭嶼鄉,7.2
花蓮市,7.3
鳳林鎮,10.6
玉里鎮,8.2
新城鄉,5.5
吉安鄉,1.9
壽豐鄉,5
光復鄉,4.4
豐濱鄉,0.6
瑞穗鄉,4.2
富里鄉,10.2
秀林鄉,8.4
萬榮鄉,3.4
卓溪鄉,5
馬公市,6.6
湖西鄉,15.6
白沙鄉,19.8
西嶼鄉,11.6
望安鄉,15.2
七美鄉,18
中正區,6
七堵區,3.2
暖暖區,4.7
仁愛區,5
中山區,2.3
安樂區,2.4
信義區,0.7
東區,1.6
北區,2.6
香山區,4.3
中區,14.7
東區,1.6
南區,2.5
西區,16.8
北區,2.6
西屯區,5.9
南屯區,10.4
北屯區,5.4
東區,1.6
西區,16.8
東區,1.6
南區,2.5
西區,16.8
北區,2.6
中區,14.7
安南區,3.2
安平區,11
松山區,2.6
信義區,0.7
大安區,2.5
中山區,2.3
中正區,6
大同區,10
萬華區,2.9
文山區,2.2
南港區,3.3
內湖區,2.3
士林區,1.9
北投區,2.9
鹽埕區,10.3
鼓山區,6.1
左營區,6
楠梓區,2.8
三民區,1.5
新興區,2.4
前金區,6.2
苓雅區,1
前鎮區,1.1
旗津區,12.3
小港區,5.4
