town,priv
竹塘鄉,93.98
溪州鄉,84.09
南投鎮,59.59
埔里鎮,73.65
草屯鎮,77.88
竹山鎮,83.03
集集鎮,79.97
名間鄉,92.48
鹿谷鄉,90.37
中寮鄉,90.77
魚池鄉,85.47
國姓鄉,86.12
水里鄉,70.1
信義鄉,86.75
仁愛鄉,79.89
斗六鎮,69.73
斗南鎮,80.01
虎尾鎮,72.27
西螺鎮,86.88
土庫鎮,90.76
北港鎮,75.15
古坑鄉,92.15
大埤鄉,93.75
莿桐鄉,91.97
林內鄉,86.35
二崙鄉,93.96
崙背鄉,90.08
麥寮鄉,92.81
東勢鄉,93.12
褒忠鄉,82.63
臺西鄉,95.06
元長鄉,95.45
四湖鄉,93.52
口湖鄉,93.88
水林鄉,95.24
太保市,88.47
朴子鎮,81.8
布袋鎮,87.9
大林鎮,75.4
民雄鄉,87.59
溪口鄉,93.69
新港鄉,90.52
六腳鄉,92.12
東石鄉,92.73
義竹鄉,92.17
鹿草鄉,91.81
水上鄉,74.5
中埔鄉,87.1
竹崎鄉,86.31
梅山鄉,86.69
番路鄉,87.35
大埔鄉,80.99
吳鳳鄉,65.05
新營鎮,55.72
鹽水鎮,83.17
白河鎮,82.41
柳營鄉,87.1
後壁鄉,87.69
東山鄉,90
麻豆鎮,83.56
下營鄉,93.54
六甲鄉,86.41
官田鄉,78.91
大內鄉,88.92
佳里鎮,84.82
學甲鄉,87.44
西港鄉,93.28
七股鄉,90.06
將軍鄉,94.29
北門鄉,87.85
新化鎮,77.06
善化鎮,81.15
新市鄉,90.66
安定鄉,94.37
山上鄉,89.13
玉井鄉,71.04
楠西鄉,85.29
南化鄉,93.06
左鎮鄉,90.54
仁德鄉,70.83
歸仁鄉,89.68
關廟鄉,90.31
龍崎鄉,93.74
永康鄉,63.15
鳳山鎮,44.75
林園鄉,83.73
大寮鄉,62.14
大樹鄉,80.28
大社鄉,80.16
仁武鄉,78.85
鳥松鄉,78.18
岡山鎮,48.58
橋頭鄉,76.29
燕巢鄉,78.86
田寮鄉,93.45
阿蓮鄉,83.07
路竹鄉,86.68
湖內鄉,90.2
茄萣鄉,87.69
永安鄉,89.71
彌陀鄉,88.85
梓官鄉,89.45
旗山鎮,72.17
美濃鎮,89.5
六龜鄉,80.76
甲仙鄉,83.41
杉林鄉,89.11
內門鄉,93.58
茂林鄉,84.95
桃源鄉,87.4
三民鄉,89.97
屏東市,50.23
潮州鎮,67.81
東港鎮,76.05
恆春鎮,81.93
萬丹鄉,92.49
長治鄉,85.59
麟洛鄉,87.57
九如鄉,91.51
里港鄉,82.84
鹽埔鄉,89.95
高樹鄉,83.6
萬巒鄉,89.95
內埔鄉,84.75
竹田鄉,93.34
新埤鄉,93.25
枋寮鄉,75.18
新園鄉,95.27
崁頂鄉,92.19
林邊鄉,86.31
南州鄉,79.47
佳冬鄉,90.48
琉球鄉,86.47
車城鄉,87.1
滿州鄉,91.04
枋山鄉,85.27
三地鄉,94.21
霧臺鄉,97.39
瑪家鄉,95.11
泰武鄉,97.48
來義鄉,96.9
春日鄉,96.13
獅子鄉,92.88
牡丹鄉,96.22
臺東鎮,54.03
成功鎮,84.31
關山鎮,75.35
卑南鄉,80.08
鹿野鄉,83.4
池上鄉,78.41
東河鄉,88.23
長濱鄉,89.74
太麻里鄉,87.46
大武鄉,85.99
綠島鄉,80.11
海端鄉,82.01
延平鄉,87.21
金峰鄉,90.96
達仁鄉,94.97
蘭嶼鄉,88.46
花蓮市,45.13
鳳林鎮,65.95
玉里鎮,75.61
新城鄉,77.68
吉安鄉,76.54
壽豐鄉,83.27
光復鄉,78.6
豐濱鄉,92.77
瑞穗鄉,84.23
富里鄉,84.8
秀林鄉,82.29
萬榮鄉,93.33
卓溪鄉,85.34
馬公鎮,53.91
湖西鄉,81.82
白沙鄉,83.55
西嶼鄉,83.11
望安鄉,87.94
七美鄉,92.77
中正區,43.06
七堵區,55.81
暖暖區,40.6
仁愛區,46.86
中山區,40.32
安樂區,53.98
信義區,47.28
新竹市,48.52
香山鄉,79.96
中區,44.32
東區,36.33
南區,50.26
西區,44.08
北區,38.4
西屯區,51.77
南屯區,57.82
北屯區,56.74
嘉義市,53.4
東區,36.33
南區,50.26
西區,44.08
北區,38.4
中區,44.32
安南區,88.59
安平區,57.76
鹽埕區,38.25
鼓山區,38.49
左營區,33.84
楠梓區,60.14
三民區,46.76
新興區,41.72
前金區,41.36
苓雅區,44.54
前鎮區,35.22
旗津區,60.89
小港鄉,77.65
大安區,39.59
大同區,42.2
松山區,41.91
南港鎮,41.56
內湖鄉,49.35
中山區,40.32
北投鎮,51.3
士林鎮,52.89
城中區,33.17
延平區,38.28
建成區,40.73
古亭區,41.33
龍山區,38.98
雙園區,45.99
景美鎮,44.97
木柵鄉,42
