town,nian
埤頭鄉,8
芳苑鄉,5.3
大城鄉,5.4
竹塘鄉,6
溪州鄉,8.9
南投市,8.2
埔里鎮,11.1
草屯鎮,10.1
竹山鎮,9
集集鎮,6.7
名間鄉,7.5
鹿谷鄉,7.2
中寮鄉,5.1
魚池鄉,4.4
國姓鄉,7.1
水里鄉,4.4
信義鄉,9.5
仁愛鄉,7.8
斗六市,6.7
斗南鎮,7.1
虎尾鎮,9
西螺鎮,6.3
土庫鎮,6.6
北港鎮,7.4
古坑鄉,7.5
大埤鄉,9.3
莿桐鄉,8.7
林內鄉,8.3
二崙鄉,4.2
崙背鄉,5.5
麥寮鄉,6.4
東勢鄉,7
褒忠鄉,5.6
臺西鄉,5.9
元長鄉,5.9
四湖鄉,6.5
口湖鄉,5.8
水林鄉,6.4
太保市,8
朴子市,9
布袋鎮,6.9
大林鎮,7.1
民雄鄉,5.9
溪口鄉,9.5
新港鄉,6
六腳鄉,5.3
東石鄉,6.8
義竹鄉,7.8
鹿草鄉,7.7
水上鄉,6.2
中埔鄉,7.4
竹崎鄉,6.7
梅山鄉,9.4
番路鄉,6.8
大埔鄉,5
吳鳳鄉,8.8
新營市,10.8
鹽水鎮,7.2
白河鎮,8
柳營鄉,9.8
後壁鄉,9.2
東山鄉,10.5
麻豆鎮,8
下營鄉,8.3
六甲鄉,9.4
官田鄉,6.7
大內鄉,4.7
佳里鎮,10.2
學甲鎮,9.2
西港鄉,9.5
七股鄉,6.4
將軍鄉,9.2
北門鄉,4
新化鎮,6.4
善化鎮,5.5
新市鄉,10.9
安定鄉,10.9
山上鄉,9.5
玉井鄉,8.1
楠西鄉,5.4
南化鄉,10.6
左鎮鄉,5.7
仁德鄉,9.6
歸仁鄉,11.8
關廟鄉,10
龍崎鄉,4.1
永康市,22.8
鳳山市,11.4
林園鄉,9.3
大寮鄉,7.1
大樹鄉,7.9
大社鄉,8.1
仁武鄉,12.6
鳥松鄉,9.4
岡山鎮,9.2
橋頭鄉,15.4
燕巢鄉,16.8
田寮鄉,7.8
阿蓮鄉,11.2
路竹鄉,5.5
湖內鄉,8.4
茄萣鄉,9.8
永安鄉,7.9
彌陀鄉,8.3
梓官鄉,7.5
旗山鎮,6.7
美濃鎮,7.8
六龜鄉,8.3
甲仙鄉,10.8
杉林鄉,9.7
內門鄉,6.7
茂林鄉,18.2
桃源鄉,18.1
三民鄉,23.2
屏東市,10.3
潮州鎮,10.6
東港鎮,12.1
恆春鎮,5.6
萬丹鄉,13.7
長治鄉,7.6
麟洛鄉,9.4
九如鄉,10.7
里港鄉,9
鹽埔鄉,11.1
高樹鄉,10.2
萬巒鄉,10.5
內埔鄉,8.5
竹田鄉,7.3
新埤鄉,10.1
枋寮鄉,7.3
新園鄉,8.6
崁頂鄉,8.9
林邊鄉,13.1
南州鄉,8.9
佳冬鄉,7.4
琉球鄉,7.1
車城鄉,7.6
滿州鄉,7.8
枋山鄉,3.9
三地鄉,13.9
霧臺鄉,11.7
瑪家鄉,18.8
泰武鄉,20.5
來義鄉,25.1
春日鄉,23.3
獅子鄉,23.8
牡丹鄉,21.9
臺東市,8.4
成功鎮,9
關山鎮,6.3
卑南鄉,7.6
鹿野鄉,6.7
池上鄉,8.6
東河鄉,10.5
長濱鄉,11.4
太麻里鄉,7.6
大武鄉,3.3
綠島鄉,4
海端鄉,5.2
延平鄉,5.6
金峰鄉,14.9
達仁鄉,14.8
蘭嶼鄉,1.3
花蓮市,11.6
鳳林鎮,5.4
玉里鎮,8.7
新城鄉,4.9
吉安鄉,14.3
壽豐鄉,6
光復鄉,7.3
豐濱鄉,11.1
瑞穗鄉,8.1
富里鄉,6.7
秀林鄉,11.3
萬榮鄉,9.2
卓溪鄉,9.2
馬公市,9.6
湖西鄉,8.3
白沙鄉,9.6
西嶼鄉,6.8
望安鄉,1.3
七美鄉,1.7
中正區,7.7
七堵區,8.1
暖暖區,9.1
仁愛區,6.3
中山區,7.5
安樂區,7.6
信義區,10.4
東區,15.2
北區,8
香山區,7.9
中區,6.1
東區,15.2
南區,12.6
西區,13.2
北區,8
西屯區,20.7
南屯區,19.8
北屯區,16.8
東區,15.2
西區,13.2
東區,15.2
南區,12.6
西區,13.2
北區,8
中區,6.1
安南區,11.6
安平區,22.9
松山區,9.7
信義區,10.4
大安區,10.7
中山區,7.5
中正區,7.7
大同區,5.5
萬華區,6
文山區,6.9
南港區,4.1
內湖區,15.4
士林區,6.6
北投區,5.4
鹽埕區,6.2
鼓山區,12.1
左營區,9.9
楠梓區,12.5
三民區,13.9
新興區,9.7
前金區,7.6
苓雅區,12
前鎮區,10
旗津區,6.1
小港區,10.5
