OBJECTID,town,women
88,豐原市,0.5409
89,東勢鎮,0.5327
90,大甲鎮,0.5204
91,清水鎮,0.5182
92,沙鹿鎮,0.4993
93,梧棲鎮,0.5095
94,后里鄉,0.5088
95,神岡鄉,0.5144
96,潭子鄉,0.5344
97,大雅鄉,0.5197
98,新社鄉,0.5156
99,石岡鄉,0.5345
100,外埔鄉,0.5085
101,大安鄉,0.5061
102,烏日鄉,0.531
103,大肚鄉,0.5107
104,龍井鄉,0.5057
105,霧峰鄉,0.5258
106,太平鄉,0.5358
107,大里鄉,0.5338
108,和平鄉,0.5452
109,彰化市,0.5321
110,鹿港鎮,0.5119
111,和美鎮,0.5156
112,北斗鎮,0.5174
113,員林鎮,0.5243
114,溪湖鎮,0.5158
115,田中鎮,0.5193
116,二林鎮,0.5075
117,線西鄉,0.5177
118,伸港鄉,0.515
119,福興鄉,0.5054
120,秀水鄉,0.5056
121,花壇鄉,0.5062
122,芬園鄉,0.5017
123,大村鄉,0.5061
124,埔鹽鄉,0.5048
125,埔心鄉,0.4999
126,永靖鄉,0.5068
127,社頭鄉,0.5053
128,二水鄉,0.5122
129,田尾鄉,0.4982
130,埤頭鄉,0.503
131,芳苑鄉,0.4985
132,大城鄉,0.4789
133,竹塘鄉,0.5168
134,溪州鄉,0.5085
135,南投鎮,0.5447
136,埔里鎮,0.5315
137,草屯鎮,0.5239
138,竹山鎮,0.5153
139,集集鎮,0.5111
140,名間鄉,0.514
141,鹿谷鄉,0.5128
142,中寮鄉,0.519
143,魚池鄉,0.5162
144,國姓鄉,0.5238
145,水里鄉,0.5371
146,信義鄉,0.4885
147,仁愛鄉,0.4955
148,斗六鎮,0.535
149,斗南鎮,0.5287
150,虎尾鎮,0.5245
151,西螺鎮,0.5144
152,土庫鎮,0.5048
153,北港鎮,0.5245
154,古坑鄉,0.5133
155,大埤鄉,0.4994
156,莿桐鄉,0.5083
157,林內鄉,0.5166
158,二崙鄉,0.52
159,崙背鄉,0.5129
160,麥寮鄉,0.4983
161,東勢鄉,0.4815
162,褒忠鄉,0.4989
163,臺西鄉,0.483
164,元長鄉,0.4938
165,四湖鄉,0.4748
166,口湖鄉,0.4703
167,水林鄉,0.4856
168,嘉義市,0.5452
169,朴子鎮,0.5151
170,布袋鎮,0.5103
171,大林鎮,0.5269
172,民雄鄉,0.5224
173,溪口鄉,0.5105
174,新港鄉,0.5195
175,六腳鄉,0.5001
176,東石鄉,0.4857
177,義竹鄉,0.516
178,鹿草鄉,0.515
179,太保鄉,0.5052
180,水上鄉,0.5356
181,中埔鄉,0.5361
182,竹崎鄉,0.5243
183,梅山鄉,0.5248
184,番路鄉,0.5177
185,大埔鄉,0.513
186,吳鳳鄉,0.5134
187,新營鎮,0.5533
188,鹽水鎮,0.5268
189,白河鎮,0.5338
190,麻豆鎮,0.5211
191,佳里鎮,0.52
192,新化鎮,0.5327
193,善化鎮,0.5275
194,學甲鎮,0.5408
195,柳營鄉,0.5272
196,後壁鄉,0.5267
197,東山鄉,0.5254
198,下營鄉,0.5326
199,六甲鄉,0.5413
200,官田鄉,0.5347
201,大內鄉,0.5
202,西港鄉,0.5121
203,七股鄉,0.5102
204,將軍鄉,0.4912
205,北門鄉,0.5253
206,新市鄉,0.5211
207,安定鄉,0.5085
208,山上鄉,0.5179
209,玉井鄉,0.545
210,楠西鄉,0.549
211,南化鄉,0.5352
212,左鎮鄉,0.5167
213,仁德鄉,0.5273
214,歸仁鄉,0.5244
215,關廟鄉,0.5171
216,龍崎鄉,0.5224
217,永康鄉,0.5348
218,鳳山市,0.5538
219,岡山鎮,0.542
220,旗山鎮,0.5366
221,美濃鎮,0.5235
222,林園鄉,0.4944
223,大寮鄉,0.5375
224,大樹鄉,0.524
225,仁武鄉,0.5141
226,大社鄉,0.5293
227,鳥松鄉,0.5341
228,橋頭鄉,0.5287
229,燕巢鄉,0.5095
230,田寮鄉,0.4937
231,阿蓮鄉,0.5203
232,路竹鄉,0.5143
233,湖內鄉,0.509
234,茄萣鄉,0.5156
235,永安鄉,0.5109
236,彌陀鄉,0.4855
237,梓官鄉,0.5019
238,六龜鄉,0.5034
239,甲仙鄉,0.5102
240,杉林鄉,0.5136
241,內門鄉,0.4973
242,茂林鄉,0.4879
243,桃源鄉,0.4585
244,三民鄉,0.423
245,屏東市,0.5534
246,潮州鎮,0.5357
247,東港鎮,0.5185
248,恆春鎮,0.5089
249,萬丹鄉,0.5144
250,長治鄉,0.532
251,麟洛鄉,0.5486
252,九如鄉,0.521
253,里港鄉,0.5279
254,鹽埔鄉,0.5129
255,高樹鄉,0.5247
256,萬巒鄉,0.5144
257,內埔鄉,0.5218
258,竹田鄉,0.5313
259,新埤鄉,0.5122
260,枋寮鄉,0.5237
261,新園鄉,0.4981
262,崁頂鄉,0.511
263,林邊鄉,0.5128
264,南州鄉,0.5159
265,佳冬鄉,0.5239
266,琉球鄉,0.4655
267,車城鄉,0.5053
268,滿州鄉,0.4823
269,枋山鄉,0.493
270,三地門鄉,0.4806
271,霧臺鄉,0.4865
272,瑪家鄉,0.5007
273,泰武鄉,0.4675
274,來義鄉,0.4565
275,春日鄉,0.4722
276,獅子鄉,0.5009
277,牡丹鄉,0.4889
278,臺東市,0.5408
279,成功鎮,0.4807
280,關山鎮,0.5029
281,卑南鄉,0.5111
282,大武鄉,0.4987
283,太麻里鄉,0.4981
284,東河鄉,0.4877
285,長濱鄉,0.4915
286,鹿野鄉,0.5014
287,池上鄉,0.5146
288,綠島鄉,0.4945
289,延平鄉,0.4563
290,海端鄉,0.4422
291,達仁鄉,0.4738
292,金峰鄉,0.4731
293,蘭嶼鄉,0.4501
294,花蓮市,0.5612
295,鳳林鎮,0.5239
296,玉里鎮,0.5194
297,新城鄉,0.5249
298,吉安鄉,0.5351
299,壽豐鄉,0.5264
300,光復鄉,0.5186
301,豐濱鄉,0.4929
302,瑞穗鄉,0.5107
303,富里鄉,0.5064
304,秀林鄉,0.473
305,萬榮鄉,0.4436
306,卓溪鄉,0.4504
307,馬公鎮,0.5156
308,湖西鄉,0.4673
309,白沙鄉,0.478
310,西嶼鄉,0.4652
311,望安鄉,0.4614
312,七美鄉,0.4544
313,中正區,0.5432
314,七堵區,0.5392
315,暖暖區,0.5477
316,仁愛區,0.5494
317,中山區,0.5383
318,安樂區,0.5363
319,信義區,0.5556
320,中區,0.5523
321,東區,0.5424
322,西區,0.5613
323,南區,0.5516
324,北區,0.572
325,西屯區,0.5665
326,南屯區,0.5346
327,北屯區,0.5463
328,東區,0.5663
329,南區,0.5503
330,西區,0.5452
331,北區,0.5562
332,中區,0.5362
333,安南區,0.5122
334,安平區,0.5582
335,松山區,0.5935
336,大安區,0.5876
337,古亭區,0.5815
338,雙園區,0.57
339,龍山區,0.5624
340,城中區,0.5952
341,建成區,0.5585
342,延平區,0.5673
343,大同區,0.5704
344,中山區,0.6184
345,內湖區,0.5771
346,南港區,0.5649
347,木柵區,0.5738
348,景美區,0.597
349,士林區,0.5708
350,北投區,0.5696
351,鹽埕區,0.5722
352,鼓山區,0.5568
353,左營區,0.5603
354,楠梓區,0.5533
355,三民區,0.5617
356,新興區,0.5699
357,前金區,0.5719
358,苓雅區,0.569
359,前鎮區,0.5548
360,旗津區,0.5182
361,小港區,0.5252
