town,xiao
橋頭鄉,38.99
燕巢鄉,37.76
田寮鄉,37.84
阿蓮鄉,41.25
路竹鄉,42.49
湖內鄉,40.72
茄萣鄉,50.26
永安鄉,41.83
彌陀鄉,40.49
梓官鄉,44.73
旗山鎮,35.24
美濃鎮,40.83
六龜鄉,47.34
甲仙鄉,52.63
杉林鄉,44.32
內門鄉,44.96
茂林鄉,57.42
桃源鄉,64.52
三民鄉,70.47
屏東市,36.77
潮州鎮,42.25
東港鎮,45.59
恆春鎮,40.66
萬丹鄉,43.06
長治鄉,42.62
麟洛鄉,36.83
九如鄉,46.36
里港鄉,43.51
鹽埔鄉,40.67
高樹鄉,42.02
萬巒鄉,39.25
內埔鄉,41.14
竹田鄉,43.09
新埤鄉,45.84
枋寮鄉,38.45
新園鄉,43.87
崁頂鄉,42.57
林邊鄉,45.73
南州鄉,41.96
佳冬鄉,42.27
琉球鄉,54.01
車城鄉,40.44
滿州鄉,44.9
枋山鄉,38.41
三地鄉,62.56
霧臺鄉,50.93
瑪家鄉,57.65
泰武鄉,65.22
來義鄉,73.28
春日鄉,62.72
獅子鄉,59.84
牡丹鄉,54.37
臺東市,37.66
成功鎮,61.41
關山鎮,46.83
卑南鄉,45.12
鹿野鄉,57.45
池上鄉,51.19
東河鄉,56.33
長濱鄉,58.05
太麻里鄉,44.19
大武鄉,46.56
綠島鄉,39.23
海端鄉,62.8
延平鄉,66.39
金峰鄉,64.45
達仁鄉,60.87
蘭嶼鄉,52.25
花蓮市,35.56
鳳林鎮,44.75
玉里鎮,47.44
新城鄉,36.02
吉安鄉,43.69
壽豐鄉,45.38
光復鄉,49.77
豐濱鄉,56.06
瑞穗鄉,48.42
富里鄉,47.99
秀林鄉,66.69
萬榮鄉,72.73
卓溪鄉,64.27
馬公市,37.23
湖西鄉,35.88
白沙鄉,48.46
西嶼鄉,55.26
望安鄉,58.68
七美鄉,38.23
中正區,37.59
七堵區,41.6
暖暖區,38.91
仁愛區,38.05
中山區,36.5
安樂區,40.08
信義區,32.26
東區,32.62
北區,40.25
香山區,46.35
中區,41.69
東區,42
南區,34.81
西區,35.58
北區,34.04
西屯區,34.75
南屯區,40.5
北屯區,38.69
東區,33.76
西區,40.56
東區,34.7
南區,42.58
西區,44.09
北區,40.25
中區,35.71
安南區,50.65
安平區,46.97
松山區,25.53
信義區,29.46
大安區,21.29
中山區,27.16
中正區,26.43
大同區,36.07
萬華區,36.9
文山區,28.5
南港區,38.39
內湖區,33.67
士林區,33.69
北投區,33.9
鹽埕區,36.79
鼓山區,36.91
左營區,28.16
楠梓區,38.85
三民區,38.76
新興區,33.08
前金區,31.79
苓雅區,34.62
前鎮區,41.94
旗津區,47.07
小港區,42.72
