OBJECTID,town,ratio
178,中埔鄉,107.5037
179,竹崎鄉,108.6832
180,梅山鄉,108.8773
181,番路鄉,117.5879
182,大埔鄉,121.6584
183,吳鳳鄉,116.4525
184,新營市,104.3348
185,鹽水鎮,106.3928
186,白河鎮,141.8681
187,柳營鄉,102.3825
188,後壁鄉,100.4444
189,東山鄉,128.1142
190,麻豆鎮,104.0377
191,下營鄉,104.3393
192,六甲鄉,107.4734
193,官田鄉,111.4395
194,大內鄉,115.5761
195,佳里鎮,106.1271
196,學甲鎮,124.6691
197,西港鄉,168.1129
198,七股鄉,133.4521
199,將軍鄉,104.9682
200,北門鄉,120.9596
201,新化鎮,104.7435
202,善化鎮,110.2053
203,新市鄉,104.229
204,安定鄉,106.3105
205,山上鄉,118.6362
206,玉井鄉,105.5326
207,楠西鄉,113.9551
208,南化鄉,113.2093
209,左鎮鄉,114.7904
210,仁德鄉,106.6688
211,歸仁鄉,122.3294
212,關廟鄉,105.3089
213,龍崎鄉,113.5865
214,永康市,109.6159
215,鳳山市,110.536
216,林園鄉,116.3297
217,大寮鄉,110.9505
218,大樹鄉,125.8141
219,大社鄉,124.7864
220,仁武鄉,104.3385
221,鳥松鄉,116.0011
222,岡山鎮,124.1177
223,橋頭鄉,108.5987
224,燕巢鄉,164.2796
225,田寮鄉,125.8531
226,阿蓮鄉,112.2501
227,路竹鄉,104.3098
228,湖內鄉,97.0132
229,茄萣鄉,105.4211
230,永安鄉,111.6562
231,彌陀鄉,108.2201
232,梓官鄉,107.5259
233,旗山鎮,124.0259
234,美濃鎮,104.8769
235,六龜鄉,113.3242
236,甲仙鄉,113.8237
237,杉林鄉,115.2796
238,內門鄉,122.5456
239,茂林鄉,122.3438
240,桃源鄉,114.2779
241,三民鄉,119.919
242,屏東市,109.2362
243,潮州鎮,105.0116
244,東港鎮,108.1901
245,恆春鎮,116.7128
246,萬丹鄉,104.8604
247,長治鄉,112.3657
248,麟洛鄉,111.8865
249,九如鄉,107.5725
250,里港鄉,102.1634
251,鹽埔鄉,107.6176
252,高樹鄉,109.8877
253,萬巒鄉,131.7586
254,內埔鄉,129.835
255,竹田鄉,111.524
256,新埤鄉,110.8396
257,枋寮鄉,117.5261
258,新園鄉,103.6914
259,崁頂鄉,105.6118
260,林邊鄉,105.8619
261,南州鄉,101.9578
262,佳冬鄉,108.7022
263,琉球鄉,111.963
264,車城鄉,112.4006
265,滿州鄉,123.3429
266,枋山鄉,124.7258
267,三地鄉,109.1722
268,霧臺鄉,120.3859
269,瑪家鄉,114.9612
270,泰武鄉,117.1488
271,來義鄉,112.037
272,春日鄉,134.3231
273,獅子鄉,122.553
274,牡丹鄉,124.4369
275,臺東市,126.4925
276,成功鎮,113.8358
277,關山鎮,109.2314
278,卑南鄉,145.6591
279,鹿野鄉,127.9952
280,池上鄉,118.2075
281,東河鄉,122.8999
282,長濱鄉,122.9747
283,太麻里鄉,122.6909
284,大武鄉,112.7874
285,綠島鄉,248.119
286,海端鄉,118.4015
287,延平鄉,116.8071
288,金峰鄉,124.8098
289,達仁鄉,107.3069
290,蘭嶼鄉,138.6131
291,花蓮市,115.0251
292,鳳林鎮,117.1441
293,玉里鎮,130.4877
294,新城鄉,152.8953
295,吉安鄉,117.7523
296,壽豐鄉,115.411
297,光復鄉,116.9995
298,豐濱鄉,131.1527
299,瑞穗鄉,110.277
300,富里鄉,113.9532
301,秀林鄉,116.077
302,萬榮鄉,108.3185
303,卓溪鄉,118.1409
304,馬公市,143.6026
305,湖西鄉,174.6465
306,白沙鄉,112.6122
307,西嶼鄉,112.193
308,望安鄉,126.8254
309,七美鄉,112.1965
310,中正區,120.4464
311,七堵區,105.5888
312,暖暖區,110.7575
313,仁愛區,102.6636
314,中山區,107.6907
315,安樂區,104.3098
316,信義區,105.6711
317,東區,116.7697
318,北區,112.4526
319,香山區,108.5981
320,中區,92.4602
321,東區,105.223
322,南區,101.7519
323,西區,103.9639
324,北區,98.0276
325,西屯區,107.6452
326,南屯區,113.6313
327,北屯區,103.4822
328,東區,102.2815
329,西區,101.7876
330,東區,106.7279
331,南區,106.5119
332,西區,99.3106
333,北區,100.6712
334,中區,94.9432
335,安南區,104.9116
336,安平區,105.9906
337,松山區,98.2771
338,信義區,102.548
339,大安區,99.3502
340,中山區,100.8035
341,中正區,107.4401
342,大同區,100.9725
343,萬華區,103.5561
344,文山區,105.4406
345,南港區,104.4421
346,內湖區,99.8411
347,士林區,100.0634
348,北投區,104.367
349,鹽埕區,103.2955
350,鼓山區,112.1902
351,左營區,162.4884
352,楠梓區,105.0663
353,三民區,101.6562
354,新興區,98.5524
355,前金區,101.2231
356,苓雅區,100.6209
357,前鎮區,103.7347
358,旗津區,114.9745
359,小港區,108.6983
