town,xiao
龍井區,17.89
霧峰區,16.35
太平區,15.57
大里區,13.38
和平區,26.36
苗栗市,16.24
苑裡鎮,25.68
通霄鎮,35.42
竹南鎮,15.78
頭份鎮,15.82
後龍鎮,29.46
卓蘭鎮,35.05
大湖鄉,29.83
公館鄉,21.28
銅鑼鄉,25.37
南庄鄉,35.12
頭屋鄉,26.34
三義鄉,26.08
西湖鄉,36.07
造橋鄉,20.22
三灣鄉,30.34
獅潭鄉,46.44
泰安鄉,29.49
彰化市,19.27
鹿港鎮,25.28
和美鎮,23.61
線西鄉,32.23
伸港鄉,27.26
福興鄉,30.65
秀水鄉,21.15
花壇鄉,23.75
芬園鄉,27.93
員林鎮,19.94
溪湖鎮,23.7
田中鎮,27.09
大村鄉,23.28
埔鹽鄉,28.18
埔心鄉,25.98
永靖鄉,25.88
社頭鄉,25.38
二水鄉,35.69
北斗鎮,24.39
二林鎮,32.84
田尾鄉,31.13
埤頭鄉,30.52
芳苑鄉,47.1
大城鄉,48.84
竹塘鄉,43.81
溪州鄉,35.17
南投市,17.6
埔里鎮,22.89
草屯鎮,20.52
竹山鎮,32.46
集集鎮,27.49
名間鄉,31.24
鹿谷鄉,39.06
中寮鄉,41.79
魚池鄉,36.02
國姓鄉,39.15
水里鄉,35.32
信義鄉,35.32
仁愛鄉,25.59
斗六市,17.86
斗南鎮,25.83
虎尾鎮,20.33
西螺鎮,30.52
土庫鎮,38.07
北港鎮,29.46
古坑鄉,35.55
大埤鄉,39.7
莿桐鄉,34.03
林內鄉,35.23
二崙鄉,39.79
崙背鄉,37.3
麥寮鄉,34.05
東勢鄉,48.11
褒忠鄉,42.33
臺西鄉,46.27
元長鄉,39.74
四湖鄉,49.94
口湖鄉,49.49
水林鄉,46.69
東區,12.31
南區,21.53
北區,16.9
安南區,22.06
安平區,14.26
中西區,15.31
新營區,17.64
鹽水區,30.44
白河區,37.47
柳營區,27.29
後壁區,39.57
東山區,40.25
麻豆區,24.49
下營區,32.46
六甲區,29.66
官田區,23.36
大內區,36.62
佳里區,22.93
學甲區,31.85
西港區,29
七股區,40.32
將軍區,42.98
北門區,39.8
新化區,24.07
善化區,22.23
新市區,21.12
安定區,27.06
山上區,32.08
玉井區,36.66
楠西區,47.76
南化區,46.7
左鎮區,48.61
仁德區,19.8
歸仁區,18.16
關廟區,29.95
龍崎區,53.35
永康區,16.07
鹽埕區,19.54
鼓山區,12.23
左營區,11.01
楠梓區,11.42
三民區,13.6
新興區,11.26
前金區,15.01
苓雅區,13.57
前鎮區,18.79
旗津區,30.37
小港區,17.97
鳳山區,13.99
林園區,22.68
大寮區,19.03
大樹區,20.88
大社區,17.39
仁武區,16.29
鳥松區,13.44
岡山區,15.03
橋頭區,19.5
燕巢區,17.79
田寮區,39.86
阿蓮區,23.96
路竹區,19.87
湖內區,22.56
茄萣區,29.43
永安區,27
彌陀區,28.88
梓官區,25.54
旗山區,22.81
美濃區,28
六龜區,41.07
甲仙區,43.17
杉林區,40.93
內門區,33.36
茂林區,27.21
桃源區,34.32
那瑪夏區,34.19
東區,15
西區,19.41
太保市,26.21
朴子市,29.33
布袋鎮,39.13
大林鎮,26.02
民雄鄉,20.75
溪口鄉,41.29
新港鄉,32
六腳鄉,41.49
東石鄉,46.65
義竹鄉,45.82
鹿草鄉,37.27
水上鄉,24.09
中埔鄉,26.48
竹崎鄉,33.21
梅山鄉,37.7
番路鄉,33.57
大埔鄉,48.3
阿里山鄉,28.88
屏東市,16.01
潮州鎮,20
東港鎮,27.05
恆春鎮,28.94
萬丹鄉,27.61
長治鄉,23.45
麟洛鄉,18.27
九如鄉,26.47
里港鄉,25.72
鹽埔鄉,24.15
高樹鄉,36.97
萬巒鄉,24.64
內埔鄉,18.23
竹田鄉,21.24
新埤鄉,34.29
枋寮鄉,32.05
新園鄉,27.31
崁頂鄉,30.46
林邊鄉,29.5
南州鄉,29.8
佳冬鄉,30.1
琉球鄉,51.35
車城鄉,35.83
滿州鄉,40.45
枋山鄉,34.74
三地門鄉,36.82
霧臺鄉,49.67
瑪家鄉,32.15
泰武鄉,34.81
來義鄉,49.15
春日鄉,45.41
獅子鄉,39.93
牡丹鄉,37
馬公市,21.69
湖西鄉,31.13
白沙鄉,39.17
西嶼鄉,50.49
望安鄉,50.83
七美鄉,50.04
臺東市,19.88
成功鎮,42.36
關山鎮,37.85
卑南鄉,26.04
鹿野鄉,38.3
池上鄉,45.18
東河鄉,41.91
長濱鄉,54.47
太麻里鄉,41.42
大武鄉,43.6
綠島鄉,32.23
海端鄉,37.09
延平鄉,33.66
金峰鄉,37.18
達仁鄉,44.99
蘭嶼鄉,31.66
花蓮市,14.21
鳳林鎮,39.72
玉里鎮,33.61
新城鄉,21.09
吉安鄉,18.1
壽豐鄉,28.96
光復鄉,37.4
豐濱鄉,45.79
瑞穗鄉,42.52
富里鄉,48.89
秀林鄉,33.29
萬榮鄉,35.07
卓溪鄉,39.32
中正區,17.64
