OBJECTID,town,ratio
314,中山區,105.5057
315,安樂區,98.877
316,信義區,100.4235
317,東區,105.6594
318,北區,105.8381
319,香山區,104.9231
320,中區,95.7676
321,東區,100.9121
322,南區,96.4948
323,西區,91.6467
324,北區,92.0117
325,西屯區,99.0607
326,南屯區,106.5019
327,北屯區,94.5174
328,東區,97.7718
329,西區,97.5
330,東區,97.7153
331,南區,103.1093
332,西區,98.2331
333,北區,97.1782
334,中區,85.9214
335,安南區,102.918
336,安平區,94.835
337,松山區,94.6624
338,信義區,95.6678
339,大安區,93.3069
340,中山區,93.509
341,中正區,98.0071
342,大同區,96.529
343,萬華區,99.5147
344,文山區,96.4639
345,南港區,99.7946
346,內湖區,93.5718
347,士林區,93.5072
348,北投區,95.149
349,鹽埕區,100.6231
350,鼓山區,107.3077
351,左營區,120.0942
352,楠梓區,94.2311
353,三民區,95.3851
354,新興區,94.203
355,前金區,95.1186
356,苓雅區,96.2699
357,前鎮區,98.4593
358,旗津區,114.037
359,小港區,104.2966
