town,chu
大社鄉,19.88
仁武鄉,21.12
鳥松鄉,16.66
岡山鎮,19.13
橋頭鄉,18.16
燕巢鄉,20.34
田寮鄉,24.18
阿蓮鄉,23.71
路竹鄉,20.14
湖內鄉,21.32
茄萣鄉,27.62
永安鄉,22.83
彌陀鄉,21.95
梓官鄉,21.87
旗山鎮,21.94
美濃鎮,19.86
六龜鄉,28.62
甲仙鄉,30.22
杉林鄉,31.98
內門鄉,27.14
茂林鄉,28.48
桃源鄉,31.97
三民鄉,29.85
屏東市,18.76
潮州鎮,21.5
東港鎮,24.63
恆春鎮,29.54
萬丹鄉,22.88
長治鄉,21.45
麟洛鄉,17
九如鄉,25.01
里港鄉,23.5
鹽埔鄉,25.18
高樹鄉,22.09
萬巒鄉,25.02
內埔鄉,19.57
竹田鄉,25.98
新埤鄉,23.19
枋寮鄉,26.71
新園鄉,24.69
崁頂鄉,24.68
林邊鄉,24.22
南州鄉,20.7
佳冬鄉,21.78
琉球鄉,32.91
車城鄉,28.12
滿州鄉,30.03
枋山鄉,26.85
三地門鄉,29.76
霧臺鄉,20
瑪家鄉,25.88
泰武鄉,27.75
來義鄉,27.57
春日鄉,22.58
獅子鄉,33
牡丹鄉,26.62
臺東市,22.01
成功鎮,26.62
關山鎮,21.88
卑南鄉,24.48
鹿野鄉,28.13
池上鄉,23.16
東河鄉,27.82
長濱鄉,25.83
太麻里鄉,26.9
大武鄉,26.48
綠島鄉,26.49
海端鄉,29.39
延平鄉,26.22
金峰鄉,27.04
達仁鄉,28.16
蘭嶼鄉,32.61
花蓮市,17.68
鳳林鎮,21.79
玉里鎮,26.7
新城鄉,16.68
吉安鄉,20.64
壽豐鄉,17.16
光復鄉,27.81
豐濱鄉,25.38
瑞穗鄉,28.24
富里鄉,27.64
秀林鄉,27.39
萬榮鄉,34.96
卓溪鄉,31.53
馬公市,19.91
湖西鄉,24.01
白沙鄉,24.41
西嶼鄉,21.21
望安鄉,17.23
七美鄉,27.12
中正區,20.37
七堵區,22.73
暖暖區,21.52
仁愛區,19.21
中山區,21.07
安樂區,20.43
信義區,19.35
東區,14.83
北區,19.79
香山區,21.41
中區,20.79
東區,20.95
南區,16.61
西區,17.1
北區,17.73
西屯區,17.25
南屯區,19.06
北屯區,19.56
東區,16.85
西區,20.15
東區,16.75
南區,21.57
西區,18.38
北區,19.01
中區,16.31
安南區,26.29
安平區,21.44
松山區,12.5
信義區,14.37
大安區,10.67
中山區,14.15
中正區,13.87
大同區,17.77
萬華區,18.81
文山區,13.53
南港區,17.12
內湖區,15.61
士林區,15.41
北投區,16.48
鹽埕區,19
鼓山區,17.54
左營區,16.1
楠梓區,18.3
三民區,18.27
新興區,15.95
前金區,15.28
苓雅區,16.75
前鎮區,19.54
旗津區,26.86
小港區,21.93
